threshold,Treat_All,Uncalibrated,Platt,Isotonic,SOFA
0.01,0.15230130283893725,0.15398739054653032,0.11484015785091053,0.10209105908030638,0.024737906458336564
0.02,0.1436513161332121,0.14775802794235973,0.11125740618828177,0.10124664305046134,0.023334064808719183
0.03,0.1348229791861318,0.14325304448350673,0.10876209479468542,0.09108376750545025,0.0219012779704499
0.04,0.12581071855265402,0.1386542072025943,0.10631080389144906,0.09035244922341697,0.02043864140638334
0.05,0.11660872611636618,0.13315546931845743,0.10289163769639152,0.08960573476702509,0.018945212493599588
0.060000000000000005,0.10721094660696581,0.1282478674379841,0.09962850388382304,0.08884313276900786,0.01742000849756512
0.06999999999999999,0.09761106431241708,0.12512319067990246,0.09837636060320763,0.08806413072802251,0.015862004415594426
0.08,0.08780248892450855,0.12195284846056235,0.09646252142745831,0.08726819386005923,0.014270130679667845
0.09,0.0777783404511515,0.11754809450661986,0.09466416839688728,0.08249917005677374,0.012643270707786836
0.09999999999999999,0.06753143312283097,0.11441087785173808,0.09410024463787904,0.08181145815554418,0.010980258292086247
0.11,0.057054258214098735,0.11130671913564266,0.09233849393327466,0.08110829205428698,0.0092798748108643
0.12,0.04633896569380441,0.10871386677838292,0.09002467066983197,0.08038914490527393,0.007540846250523668
0.13,0.03537734460982514,0.10500791590891702,0.08765177063286073,0.07965346563789277,0.00576184002212923
0.14,0.024160802105288204,0.10135867300158372,0.08536657974017314,0.07906738589409257,0.003941461555865153
0.15000000000000002,0.012680340953585695,0.09909340080118068,0.08430468961778259,0.07614228487093763,0.0020782506551007413
0.16,0.0009265354887474375,0.09504303513520101,0.0834125765001341,0.07543949479433351,0.00017067759003242325
0.17,-0.011110494204159216,0.09198082653193418,0.08067292210315917,0.07278885125756482,-0.001782861091061641
0.18000000000000002,-0.023441109987136777,0.09025514218275822,0.07795386709627465,0.07209671175052765,-0.0037840470570604384
0.19,-0.0360761854190767,0.08868913289462871,0.07694398614350825,0.07138748237911918,-0.005834645022219694
0.2,-0.04902713773681516,0.08538146441372246,0.07603686635944701,0.0706605222734255,-0.00793650793650794
0.21000000000000002,-0.0623059622651293,0.08245023884060224,0.07320772326897276,0.07005126809128442,-0.010091582570145256
0.22,-0.07592526947365658,0.0791156275027243,0.07228852390142712,0.06929510155316607,-0.012301915527721984
0.23,-0.0898983249213664,0.07691796171058846,0.0711526057148177,0.06800726155564865,-0.014569659730950053
0.24000000000000002,-0.10423909235454232,0.07365187161452018,0.07020238768965424,0.06721103834855957,-0.016897081413210457
0.25,-0.1189622802526028,0.07253797576378224,0.0694657791431985,0.06588154975251749,-0.01928656767366445
0.26,-0.13408339214790832,0.06902755289852064,0.06837713289326192,0.06504200052587149,-0.021740634643860456
0.27,-0.14961878108144128,0.06608729808022781,0.06782680666905147,0.06417944995055025,-0.024261936325568677
0.28,-0.16558570859646132,0.061984411446777035,0.06690561529271206,0.06329293963702565,-0.026853274165102133
0.29000000000000004,-0.18200240871753826,0.05887655683203159,0.06464594015707145,0.0635136986795324,-0.029517607436735118
0.3,-0.19888815741350307,0.05486065393899493,0.06393094872357545,0.06283373564479555,-0.032258064516129045
0.31,-0.21626334810065528,0.04922193281239563,0.0629429268980461,0.06213406353658808,-0.03507795513405612
0.32,-0.23414957380801787,0.04864311315924219,0.06171500858407879,0.06141381283696275,-0.03798078371133401
0.33,-0.2525697167006749,0.04541807093564433,0.060037752863944485,0.06067206211645307,-0.04097026388793362
0.34,-0.27154804574159425,0.044391689552979854,0.05914754301851076,0.05990783410138249,-0.04405033437291503
0.35000000000000003,-0.291110323368388,0.042459332781913425,0.05801725156563867,0.059120091378155895,-0.04722517625743433
0.36000000000000004,-0.311283922171019,0.03904249871991805,0.05478750640040962,0.058307731694828474,-0.05049923195084487
0.37,-0.3320979526816701,0.03521647607669112,0.05416981607457798,0.057469582815204936,-0.05387722592023668
0.38,-0.3535834035313744,0.0338437143848174,0.05387906116314024,0.05660439687494839,-0.05736418743702823
