Uncalibrated_prob_pred,Uncalibrated_prob_true,Platt_prob_pred,Platt_prob_true,Isotonic_prob_pred,Isotonic_prob_true
0.003826171045704764,0.0,0.0010592462482859836,0.0,0.0,0.071024512884978
0.00896708941182647,0.0,0.001119236587932553,0.0,0.276994793604927,0.4010152284263959
0.020005979665961023,0.010256410256410256,0.0012602445545923891,0.010256410256410256,0.9926157203587619,0.7393939393939394
0.04081436650684247,0.03076923076923077,0.0015772699588563989,0.03076923076923077,,
0.07267915100163343,0.04591836734693878,0.00222909282861469,0.04591836734693878,,
0.12618390019887532,0.08205128205128205,0.00399008811410183,0.08205128205128205,,
0.22259866587626628,0.14871794871794872,0.01174574218192712,0.14871794871794872,,
0.37417916074777263,0.22564102564102564,0.06088782850262485,0.22564102564102564,,
0.5876216627084292,0.3435897435897436,0.36758982548964053,0.3435897435897436,,
0.8495836583327274,0.7193877551020408,0.874173948366472,0.7193877551020408,,
