Epoch,Train_Loss,Val_AUROC,Val_AUPRC
1,0.9795140124656059,0.811189205745329,0.5024525073813233
2,0.8974495900643839,0.8256573114310126,0.5356261572669777
3,0.8692204726708902,0.8339647177040176,0.5467028006161162
4,0.8600949113433426,0.8314794813513237,0.543727198897074
5,0.8604050133679364,0.8348647762749933,0.555801840993121
6,0.8505235314369202,0.8406224643872348,0.5692968249028918
7,0.8303891146505201,0.844262999801181,0.5704220236635069
8,0.8193825418884689,0.8399910800165503,0.5615650847526878
9,0.8111777370040482,0.8386987571131495,0.5608588261378045
10,0.8103973535267083,0.8382769386186921,0.5643549938566949
11,0.800022290365116,0.84595027377901,0.5730165775377309
12,0.7927462885508666,0.8489352441442457,0.5849600713546147
13,0.7847998754398243,0.8447815410077432,0.574230178843524
14,0.7878628252325831,0.8566327599825899,0.585817449151298
15,0.7805308441858034,0.8465709111816829,0.5658421358958807
16,0.7850499620308747,0.8478793545371013,0.5706746024817626
17,0.7809576819071898,0.861200221387541,0.5823113291754418
18,0.7737527610482396,0.8616220398819983,0.5862455165282732
19,0.7563255437322565,0.8572211564812278,0.5846907211613485
20,0.7580216591422623,0.8527531045303843,0.5671606230578974
21,0.7494596557037251,0.8556924002815705,0.5760746599734594
22,0.7481353580951691,0.8512431555247476,0.5748709962322824
23,0.7387049077330409,0.8529814776006319,0.585539152765223
24,0.7489779124388823,0.850678939704136,0.5702188452060877
25,0.7155490847858222,0.8562781100382055,0.5736095654658988
