Epoch,Train_Loss,Val_AUROC,Val_AUPRC
1,1.1498724383276862,0.6810678652309532,0.3009107100539837
2,1.1168122500986666,0.688540197837884,0.31348952418936693
3,1.1002277852715672,0.686459802162116,0.3149739724723152
4,1.0947267324537844,0.6833725911207965,0.31423033726693406
5,1.0911961930829126,0.6838426163312396,0.3144612927900212
6,1.0867960364431948,0.6828358009656882,0.3144582435209835
7,1.0914774529031805,0.682325716788446,0.31365185681347063
8,1.08849443535547,0.6828251185745418,0.31417256557262685
9,1.0848613349167076,0.6821681515190361,0.3152198748450351
10,1.0897756291402352,0.681663408537367,0.3146702499305355
11,1.0825161724477201,0.682809094987822,0.3155104356853855
12,1.0798894102508958,0.6829479660727258,0.3152960914162335
13,1.0839383980712376,0.6836716980728966,0.31556932186857545
14,1.0855533375933364,0.6834714032389011,0.31559803194217284
15,1.075828292079874,0.6829212600948595,0.3156081833648065
16,1.0789753569139016,0.6836716980728967,0.31521317739006005
17,1.0782017546731073,0.6834206618809554,0.3160642422745097
18,1.0781663011860203,0.6828678481391275,0.31581818639021025
19,1.0767920814655922,0.6830494487886168,0.3158266002786805
20,1.0822396882482477,0.6826515297184121,0.31536765772592734
21,1.0785961642458632,0.6818663739691493,0.3149934550786688
22,1.0788619284694259,0.6824432230910566,0.31426071963601826
23,1.0748097896575928,0.6819171153270949,0.3140901255817171
24,1.0781099965443481,0.681431066529932,0.31393102986059185
