Epoch,Train_Loss,Val_AUROC,Val_AUPRC
1,0.9898717653106999,0.8179356149146423,0.5237082968093266
2,0.8910275625215994,0.8355660159377536,0.5450966616055972
3,0.8758529038042635,0.8345638611706672,0.5356322604545984
4,0.8453095796945933,0.8334488632394585,0.5403899144776063
5,0.8434163654172743,0.8367616161290495,0.5554490237575024
6,0.829569632137144,0.8476456079828478,0.5684792413238223
7,0.8234579337609781,0.8426482678574307,0.5731574507594007
8,0.8130278796763033,0.845034094756017,0.5618628702536095
9,0.8113123379849099,0.8472022955523673,0.5667190232442061
10,0.8190454139902785,0.8454720337024917,0.5628596803637639
11,0.8037386375504572,0.8444027103853325,0.5747766196691998
12,0.7958613819367176,0.847331259168507,0.5649816203601117
13,0.7955241138870651,0.8467348024438606,0.5659832361402112
14,0.7899837719427573,0.8536854040053949,0.5794042409294187
15,0.7864534927381052,0.8498433629412302,0.575683073790949
16,0.7731159812695271,0.8426912557294772,0.5655256295066915
17,0.7716699822528942,0.8445827220995277,0.5675450737140894
18,0.7733408365700696,0.8478471136330662,0.577595009896852
19,0.7689216080549601,0.850155025013568,0.5795947872832918
20,0.7548587990773691,0.8528444537584834,0.5722925277170731
21,0.7551343747087427,0.854324848602088,0.5859059454359156
22,0.7567492280457471,0.8505419158619875,0.5807296672788854
23,0.7389548485343521,0.8522721777118631,0.5772474286024359
24,0.746891308475185,0.8469685489981139,0.5621511082522099
25,0.7423938810825348,0.8514930225310184,0.5679107250789455
26,0.7310222040962528,0.8495558815469185,0.5722094185095343
27,0.7168905775289278,0.8506252048640776,0.5695860372061062
28,0.7024944996511614,0.8498353027152215,0.5706941145260489
