Epoch,Train_Loss,Val_AUROC,Val_AUPRC
1,0.989397546729526,0.811165025067303,0.4870319013383594
2,0.9101735337360485,0.8186932761594634,0.5037741318319312
3,0.8914065232148042,0.8135186110618542,0.49444542348157394
4,0.8748756421578897,0.8350044868591449,0.5339243845550374
5,0.8626563242963843,0.825705672787065,0.5105828982073028
6,0.8601527109339431,0.8309582534027589,0.5291230867028839
7,0.8547686104838913,0.8392146115777087,0.5374145277328038
8,0.8262549872333939,0.8371431334934631,0.5315115185181801
9,0.82545836712863,0.8350555349572001,0.548935512095583
10,0.8254123958381446,0.8432715920021066,0.5330768565580306
11,0.8161779891800236,0.8336933567617236,0.5282027909458752
12,0.8113340099115629,0.8319093600717897,0.5184405226295848
13,0.8097623224193985,0.8361705328884088,0.5282532804878044
14,0.8062642820783563,0.8417079081564115,0.5406294615494484
15,0.7945220414045695,0.8447224326836792,0.5541608078690459
16,0.7896348898475235,0.8421727145229152,0.5358353116135866
17,0.7972334059509071,0.8442012047351141,0.5366356980576698
18,0.7913957560384596,0.8372237357535506,0.5385163000041834
19,0.7845615317692628,0.8465924051177062,0.5433696370319819
20,0.7767583969477061,0.8475085841406993,0.5395430925738955
21,0.7761835061215066,0.8360630632082924,0.5486147510898913
22,0.7513222146678615,0.8444591319673936,0.5566181490749256
23,0.7444088515397664,0.847642921240845,0.5560405623709017
24,0.7292891297791455,0.8486585097179459,0.5553024862187564
25,0.7183327111038001,0.8419147872906356,0.5565259013757982
26,0.7171110663865063,0.8446310834555801,0.5605595609647883
27,0.7092811255841642,0.8476885958548943,0.5498132565898896
28,0.7103503346443176,0.8397680804303087,0.5416867800168532
29,0.7052010652181264,0.8454585999924772,0.5479359022033097
30,0.6971788889652973,0.8388545881493186,0.5403634504827547
31,0.6898799208370415,0.8440964217970005,0.5511469503466075
32,0.6917662664845183,0.8464876221795926,0.5521312363552462
33,0.6756240310701164,0.8412995233719687,0.5358244536506415
