Model,AUROC,AUPRC,Brier
RandomForest_Combined,0.8792869273248018,0.5955467346340736,0.094271006656426
XGBoost_Combined,0.8771777105039192,0.6179286949707231,0.1092939844251931
LR_Combined,0.8756854226011666,0.5792719234205947,0.1457091684537705
LR_Static,0.6601032554416045,0.3018162616798685,0.22643771801967355
