Category,Modality,Features,AUROC,AUROC_95CI_Lower,AUROC_95CI_Upper,Δ_AUROC_from_Champion,Gain_from_Static,P_Value_vs_Champion,AUPRC,Brier
Single Modality,Static Only,4,0.6633195105794544,0.6323026987349851,0.6962514137624064,-0.22560909998736767,0.0,0.0,0.3183566873986308,0.21434906734173798
Single Modality,Aggregated Only,120,0.8830767166932797,0.8653995444996367,0.9011577450870789,-0.0058518938735423465,33.12991742423686,0.036,0.6395812398648354,0.10170000408705479
Single Modality,Latents Only,128,0.8518295246855059,0.8307342694638897,0.8716889421979348,-0.03709908588131616,28.41918729955271,0.0,0.5390424817713263,0.11860763363393703
Dual Modality,Static + Aggregated (Champion),124,0.888928610566822,0.8714576838911636,0.9067502889871897,0.0,34.012130864397896,1.0,0.6530795004805166,0.09788533063360469
Dual Modality,Static + Latents,132,0.8602558574574991,0.8399120950321034,0.8789677571753913,-0.028672753109322935,29.689515193968518,0.0,0.5568657394288816,0.11402350317272167
Dual Modality,Aggregated + Latents,248,0.8723350485288396,0.8522246959851906,0.8906896440441895,-0.016593562037982457,31.510536719596267,0.008,0.5902867867132426,0.10605312209720562
Three Modality,SuperStack,252,0.8798923935736414,0.860675113309848,0.8983321643428337,-0.00903621699318069,32.64985870911531,0.088,0.6078003866786866,0.10238739047472996
