Modality,AUROC,AUPRC,Features
4. Static + Aggregated,0.8863257462411055,0.6390603252177313,124
7. Super-Stack (All Three),0.8844390124473911,0.638389901221316,252
2. Aggregated Only,0.8796162799283391,0.6320137355346571,120
6. Aggregated + Deep Latents,0.8783863082584923,0.6203324832774371,248
5. Static + Deep Latents,0.8512958421905542,0.5529293848449338,132
3. Deep Latents Only,0.840191121664212,0.5173244317355014,128
1. Static Only,0.6594464933177369,0.3218994500316158,4
