Threshold,Treat None,Treat All,Champion (Platt),Champion (Uncalibrated),SOFA,Age + SOFA
0.01,0.0,0.15240735430009877,0.14294363190262246,0.15403243794410987,0.15240735430009877,0.15240735430009877
0.02,0.0,0.1437584497521406,0.1321058391810983,0.1486512586106998,0.1437584497521406,0.1437584497521406
0.03,0.0,0.13493121727535856,0.12149988617516017,0.1441998113759797,0.13493121727535856,0.13493121727535856
0.04,0.0,0.12592008412197686,0.11409043112513144,0.13630389064143006,0.12592008412197686,0.12592008412197686
0.05,0.0,0.1167192429022082,0.10974597376722563,0.13033372073717417,0.1167192429022082,0.1167192429022082
0.060000000000000005,0.0,0.10732263910329551,0.10571179273776764,0.12423652594133834,0.10732263910329551,0.10732263910329551
0.06999999999999999,0.0,0.09772395780333097,0.10138733421525728,0.12173942539262576,0.09772395780333097,0.09772395780333097
0.08,0.0,0.08791660951858456,0.0999862844602935,0.11959950624057057,0.08791660951858456,0.08791660951858456
0.09,0.0,0.07789371511768989,0.0988664332512913,0.11678857420182343,0.07789371511768989,0.07789371511768989
0.09999999999999999,0.0,0.06764808973010866,0.09814230634419908,0.1146161934805468,0.06764808973010866,0.06764808973010866
0.11,0.0,0.057172225569772805,0.09676390316520753,0.11165065749831637,0.057172225569772805,0.057172225569772805
0.12,0.0,0.046458273587611135,0.08947519357613995,0.11055348437051907,0.046458273587611135,0.046458273587611135
0.13,0.0,0.035498023858733074,0.08176511113528409,0.10758185575981724,0.035498023858733074,0.035498023858733074
0.14,0.0,0.024282884601276478,0.07769055828625926,0.10417430856136747,0.024282884601276478,0.024282884601276478
0.15000000000000002,0.0,0.012803859714232674,0.0773798478381889,0.10187418816106883,0.012803859714232674,0.012803859714232674
0.16,0.0,0.001051524710830698,0.07601021481147663,0.09974462971308398,0.001051524710830698,0.001051524710830698
0.17,0.0,-0.010983999087834012,0.07525369617270343,0.09592945916156739,-0.010983999087834012,-0.010983999087834012
0.18000000000000002,0.0,-0.023313072247441752,0.07386319919981534,0.09494498730476263,-0.023313072247441752,-0.023313072247441752
0.19,0.0,-0.03594656696654594,0.07243836896833741,0.09424777037815943,-0.03594656696654594,-0.03594656696654594
0.2,0.0,-0.04889589905362776,0.07176656151419558,0.09227129337539432,-0.04889589905362776,-0.04889589905362776
0.21000000000000002,0.0,-0.06217306233278763,0.0711576089126702,0.08724993012019328,-0.06217306233278763,-0.06217306233278763
0.22,0.0,-0.07579066569602846,0.06972417697969747,0.08460729596376285,-0.07579066569602846,-0.07579066569602846
0.23,0.0,-0.08976197304273015,0.06825351304846572,0.0829202343397927,-0.08976197304273015,-0.08976197304273015
0.24000000000000002,0.0,-0.10410094637223977,0.058276606342354306,0.08135480657479661,-0.10410094637223977,-0.10410094637223977
0.25,0.0,-0.1188222923238696,0.05783385909568875,0.07991587802313356,-0.1188222923238696,-0.12092534174553102
0.26,0.0,-0.13394151249040842,0.05635604058316991,0.07434563901440873,-0.13394151249040842,-0.132662631085344
0.27,0.0,-0.14947495786698933,0.05600449418780519,0.07112916468605504,-0.14947495786698933,-0.14878354435849792
0.28,0.0,-0.16543988783736424,0.05573080967402733,0.06817385208552398,-0.16543988783736424,-0.16316158429723102
0.29000000000000004,0.0,-0.18185453414493274,0.051095214822055354,0.06606833429599678,-0.18185453414493274,-0.18101035233482926
0.3,0.0,-0.1987381703470032,0.04957187922487607,0.057683641279855785,-0.1987381703470032,-0.19333032897701669
0.31,0.0,-0.216111187308554,0.04626708727655099,0.053902071046495664,-0.216111187308554,-0.20573309559731184
0.32,0.0,-0.23399517535720915,0.044720727407682306,0.054926702542215614,-0.23399517535720915,-0.2197068101688625
0.33,0.0,-0.2524130137953765,0.04312820754272799,0.04840152549555063,-0.2524130137953765,-0.2308489100240125
0.34,0.0,-0.2713889685498519,0.043112513144058874,0.0483701366982124,-0.2713889685498519,-0.24013000669152093
0.35000000000000003,0.0,-0.2909487988352342,0.041494782819703944,0.04683329289007522,-0.2909487988352342,-0.249211356466877
0.36000000000000004,0.0,-0.3111198738170348,0.03982649842271292,0.04219242902208199,-0.3111198738170348,-0.2661671924290222
0.37,0.0,-0.33193130038555907,0.039957939011566766,0.035751840168243953,-0.33193130038555907,-0.27119323018376645
0.38,0.0,-0.3534140632950036,0.04019538007530273,0.036226722295715885,-0.3534140632950036,-0.2735321054238323
0.39,0.0,-0.37560117908672497,0.038527175880436464,0.03490717277757667,-0.37560117908672497,-0.2821016703728604
0.4,0.0,-0.3985278654048371,0.038906414300736054,0.030494216614090408,-0.3985278654048371,-0.2681388012618297
0.41000000000000003,0.0,-0.42223172753034277,0.03405870715927926,0.02710795059616103,-0.42223172753034277,-0.25937015452066514
0.42000000000000004,0.0,-0.44675296421190047,0.02828238877406722,0.023604916784509933,-0.44675296421190047,-0.25106058957902755
0.43,0.0,-0.4721345951629863,0.026564834799933594,0.02235873595661078,-0.13365432508716585,-0.25291936465770093
0.44,0.0,-0.49842271293375395,0.02478593961243803,0.023659305993690857,-0.14195583596214512,-0.24831004957187924
0.45,0.0,-0.5256667622598221,0.02294235732721537,0.020074562661313453,-0.15055921995985086,-0.22971035273874385
0.46,0.0,-0.553919850449819,0.017875920084121977,0.009580558476457529,-0.15948124780932355,-0.2344900105152471
0.47000000000000003,0.0,-0.5832390929111363,0.015891911195762158,-0.0004761621332063648,-0.16873995595500269,-0.2162371287423368
0.48000000000000004,0.0,-0.6136859985440427,0.013831594273234653,0.001455957291919427,-0.09779179810725552,-0.2242174229555933
