Threshold (%),Treat All,Treat None,Champion (Platt),Champion (Uncalibrated),SOFA,Age + SOFA
5%,0.1167192429022082,0.0,0.10974597376722563,0.13033372073717417,0.1167192429022082,0.1167192429022082
10%,0.06764808973010865,0.0,0.09814230634419908,0.1146161934805468,0.06764808973010865,0.06764808973010865
20%,-0.04889589905362776,0.0,0.07176656151419558,0.09227129337539432,-0.04889589905362776,-0.04889589905362776
30%,-0.1987381703470032,0.0,0.04957187922487607,0.057683641279855785,-0.1987381703470032,-0.19333032897701669
40%,-0.3985278654048371,0.0,0.038906414300736054,0.030494216614090408,-0.3985278654048371,-0.2681388012618297
50%,-0.6782334384858044,0.0,0.015772870662460574,0.0,-0.11041009463722398,-0.1892744479495268
