fpr,tpr
0.0,0.0
0.0,0.003289473684210526
0.0,0.006578947368421052
0.001212856276531231,0.006578947368421052
0.0018192844147968466,0.009868421052631578
0.0036385688295936932,0.039473684210526314
0.009096422073984234,0.05921052631578947
0.02001212856276531,0.07894736842105263
0.02971497877501516,0.1118421052631579
0.04063068526379624,0.1513157894736842
0.061855670103092786,0.20394736842105263
0.1055184960582171,0.27631578947368424
0.1558520315342632,0.3355263157894737
0.20436628259551243,0.3782894736842105
0.3074590661006671,0.47368421052631576
1.0,1.0
