fpr,tpr
0.0,0.0
0.0,0.003289473684210526
0.0,0.006578947368421052
0.0006064281382656155,0.006578947368421052
0.001212856276531231,0.013157894736842105
0.0030321406913280777,0.013157894736842105
0.0030321406913280777,0.019736842105263157
0.0036385688295936932,0.019736842105263157
0.0036385688295936932,0.029605263157894735
0.0036385688295936932,0.03289473684210526
0.004851425106124924,0.03289473684210526
0.004851425106124924,0.039473684210526314
0.0066707095209217705,0.039473684210526314
0.0066707095209217705,0.04276315789473684
0.0072771376591873865,0.04276315789473684
0.0072771376591873865,0.049342105263157895
0.008489993935718617,0.049342105263157895
0.008489993935718617,0.05263157894736842
0.009096422073984234,0.05592105263157895
0.009096422073984234,0.05921052631578947
0.012734990903577926,0.05921052631578947
0.013947847180109158,0.05921052631578947
0.013947847180109158,0.06578947368421052
0.015767131594906003,0.06578947368421052
0.015767131594906003,0.06907894736842106
0.01637355973317162,0.06907894736842106
0.016979987871437233,0.07236842105263158
0.01758641600970285,0.07236842105263158
0.01758641600970285,0.0756578947368421
0.019405700424499697,0.0756578947368421
0.019405700424499697,0.08223684210526316
0.019405700424499697,0.08552631578947369
0.020618556701030927,0.08552631578947369
0.021831412977562158,0.08552631578947369
0.02304426925409339,0.08881578947368421
0.02425712553062462,0.08881578947368421
0.024863553668890235,0.09210526315789473
0.024863553668890235,0.10526315789473684
0.025469981807155852,0.10526315789473684
0.025469981807155852,0.1118421052631579
0.026682838083687082,0.1118421052631579
0.026682838083687082,0.11513157894736842
0.02850212249848393,0.11513157894736842
0.02850212249848393,0.11842105263157894
0.02971497877501516,0.11842105263157894
0.02971497877501516,0.12171052631578948
0.02971497877501516,0.12828947368421054
0.030927835051546393,0.12828947368421054
0.030927835051546393,0.13486842105263158
0.03274711946634324,0.13486842105263158
0.03274711946634324,0.13815789473684212
0.03395997574287447,0.13815789473684212
0.03395997574287447,0.14144736842105263
0.03456640388114009,0.14473684210526316
0.036385688295936934,0.14473684210526316
0.036385688295936934,0.14802631578947367
0.03699211643420255,0.14802631578947367
0.03699211643420255,0.1513157894736842
0.03820497271073378,0.1513157894736842
0.038811400848999394,0.15460526315789475
0.03941782898726501,0.15460526315789475
0.03941782898726501,0.15789473684210525
0.04002425712553062,0.1611842105263158
0.04002425712553062,0.17105263157894737
0.04184354154032747,0.17105263157894737
0.04184354154032747,0.17434210526315788
0.04244996967859309,0.17763157894736842
0.0430563978168587,0.17763157894736842
0.0430563978168587,0.18092105263157895
0.044269254093389936,0.18092105263157895
0.044269254093389936,0.18421052631578946
0.04548211036992116,0.19078947368421054
0.04790782292298363,0.19078947368421054
0.049120679199514856,0.20065789473684212
0.05215281989084294,0.20065789473684212
0.05215281989084294,0.20394736842105263
0.05761067313523347,0.20723684210526316
0.058823529411764705,0.20723684210526316
0.06064281382656155,0.20723684210526316
0.061249241964827165,0.21052631578947367
0.0624620982413584,0.21052631578947367
0.06306852637962401,0.21710526315789475
0.06306852637962401,0.2236842105263158
0.06367495451788963,0.2236842105263158
0.06488781079442087,0.22697368421052633
0.0667070952092177,0.22697368421052633
0.06731352334748332,0.22697368421052633
0.06731352334748332,0.23026315789473684
0.06731352334748332,0.24013157894736842
0.06791995148574893,0.24013157894736842
0.06852637962401456,0.24342105263157895
0.06973923590054579,0.24342105263157895
0.07216494845360824,0.24342105263157895
0.07277137659187387,0.24342105263157895
0.07277137659187387,0.24671052631578946
0.07337780473013948,0.24671052631578946
0.07337780473013948,0.25
0.0739842328684051,0.25
0.07640994542146756,0.25
0.07883565797453002,0.25
0.08004851425106124,0.2565789473684211
0.08126137052759248,0.2565789473684211
0.08126137052759248,0.2598684210526316
0.08308065494238932,0.2598684210526316
0.08368708308065494,0.2631578947368421
0.08489993935718618,0.2631578947368421
0.08489993935718618,0.26644736842105265
0.0861127956337174,0.26644736842105265
0.08671922377198302,0.26644736842105265
0.08793208004851426,0.26644736842105265
0.08853850818677987,0.26644736842105265
0.0897513644633111,0.26644736842105265
0.09035779260157671,0.26644736842105265
0.09157064887810794,0.26973684210526316
0.09217707701637357,0.2730263157894737
0.09338993329290479,0.27631578947368424
0.09581564584596726,0.27631578947368424
0.0976349302607641,0.27631578947368424
0.09824135839902971,0.27960526315789475
0.09884778653729533,0.27960526315789475
0.10006064281382657,0.27960526315789475
0.10066707095209218,0.28618421052631576
0.10187992722862341,0.2894736842105263
0.10369921164342026,0.2894736842105263
0.10430563978168587,0.2894736842105263
