precision,recall
0.15565796210957503,1.0
0.22119815668202766,0.47368421052631576
0.25442477876106195,0.3782894736842105
0.2841225626740947,0.3355263157894737
0.32558139534883723,0.27631578947368424
0.3780487804878049,0.20394736842105263
0.40707964601769914,0.1513157894736842
0.40963855421686746,0.1118421052631579
0.42105263157894735,0.07894736842105263
0.5454545454545454,0.05921052631578947
0.6666666666666666,0.039473684210526314
0.5,0.009868421052631578
0.5,0.006578947368421052
1.0,0.006578947368421052
1.0,0.003289473684210526
1.0,0.0
