precision,recall
0.15565796210957503,1.0
0.15570400822199384,0.9967105263157895
0.1557840616966581,0.9967105263157895
0.1561051004636785,0.9967105263157895
0.1565082644628099,0.9967105263157895
0.15675116399379202,0.9967105263157895
0.15699481865284975,0.9967105263157895
0.1565578019699326,0.993421052631579
0.15704628185127406,0.993421052631579
0.15745568300312826,0.993421052631579
0.15762004175365343,0.993421052631579
0.15803244374672945,0.993421052631579
0.15767417496071243,0.9901315789473685
0.1578395385422129,0.9901315789473685
0.15800524934383203,0.9901315789473685
0.15709014232999474,0.9802631578947368
0.1565309360126917,0.9736842105263158
0.1571959638874137,0.9736842105263158
0.15724946695095948,0.9703947368421053
0.15685224839400427,0.9638157894736842
0.15628356605800214,0.9572368421052632
0.1566200215285253,0.9572368421052632
0.1567043618739903,0.9572368421052632
0.1572972972972973,0.9572368421052632
0.15738236884802595,0.9572368421052632
0.15697990222705052,0.9506578947368421
0.15746309458720611,0.9473684210526315
0.15722924683892248,0.9407894736842105
0.15844875346260387,0.9407894736842105
0.15888888888888889,0.9407894736842105
0.1599552572706935,0.9407894736842105
0.16047297297297297,0.9375
0.16056338028169015,0.9375
0.16099773242630386,0.9342105263157895
0.16086708499714775,0.9276315789473685
0.16169724770642202,0.9276315789473685
0.16280417149478563,0.9243421052631579
0.16304985337243402,0.9144736842105263
0.1632413388138579,0.9144736842105263
0.1627497062279671,0.9111842105263158
0.16468489892984542,0.9111842105263158
0.16636528028933092,0.9078947368421053
0.16707466340269278,0.8980263157894737
0.16563275434243177,0.8782894736842105
0.16511483550589695,0.875
0.16529968454258676,0.8618421052631579
0.1655085281111813,0.8618421052631579
0.16559691912708602,0.8486842105263158
0.16775884665792923,0.8421052631578947
0.1714862138533961,0.8388157894736842
0.17364447494852436,0.8322368421052632
0.17307692307692307,0.8289473684210527
0.1731958762886598,0.8289473684210527
0.17464788732394365,0.8157894736842105
0.17489421720733428,0.8157894736842105
0.17410071942446043,0.7960526315789473
0.17447728911319393,0.7960526315789473
0.17472924187725633,0.7960526315789473
0.17795979151154132,0.7861842105263158
0.1780923994038748,0.7861842105263158
0.17993874425727413,0.7730263157894737
0.18049155145929338,0.7730263157894737
0.18303220738413198,0.7664473684210527
0.1831761006289308,0.7664473684210527
0.17969379532634971,0.7335526315789473
0.1801292407108239,0.7335526315789473
0.18309859154929578,0.7269736842105263
0.1828761429758936,0.7236842105263158
0.18333333333333332,0.7236842105263158
0.18632478632478633,0.7171052631578947
0.1857876712328767,0.7138157894736842
0.18755477651183172,0.7039473684210527
0.18771929824561404,0.7039473684210527
0.18788410886742757,0.7039473684210527
0.18991899189918993,0.694078947368421
0.19004524886877827,0.6907894736842105
0.19021739130434784,0.6907894736842105
0.18928901200369344,0.6743421052631579
0.18963922294172064,0.6743421052631579
0.1911487758945386,0.6677631578947368
0.19132893496701225,0.6677631578947368
0.19150943396226416,0.6677631578947368
0.1962890625,0.6611842105263158
0.197252208047105,0.6611842105263158
0.1974459724950884,0.6611842105263158
0.19677093844601412,0.6414473684210527
0.1949238578680203,0.631578947368421
0.1951219512195122,0.631578947368421
0.1953204476093591,0.631578947368421
0.1974921630094044,0.6217105263157895
0.19852941176470587,0.6217105263157895
0.19894736842105262,0.6217105263157895
0.20108108108108108,0.6118421052631579
0.20108695652173914,0.6085526315789473
0.20130576713819368,0.6085526315789473
0.2040586245772266,0.5953947368421053
0.20521541950113378,0.5953947368421053
0.2054483541430193,0.5953947368421053
0.2056818181818182,0.5953947368421053
0.2101534828807556,0.5855263157894737
0.2097735399284863,0.5789473684210527
0.2100238663484487,0.5789473684210527
0.21027479091995221,0.5789473684210527
0.2107843137254902,0.5657894736842105
0.21215880893300249,0.5625
0.2092426187419769,0.5361842105263158
0.211139896373057,0.5361842105263158
0.21038961038961038,0.5328947368421053
0.216,0.5328947368421053
